hastyplan#7264,None,shared game codes with Amod(hacker)
orderdamp#1354,None,in game/cross server toxicity
dustyfloor#6274,None,in game toxicity/server toxicity
worthpiano#7218,None,in game toxicity/server toxicity
sassymire#2326,None,racial slurs harassment
broadbarn#7413,None,racial slurs harassment
tidytrice#2024,None,friend of broadbarn racial slurs harassment
primjog#9187,None,toxicity towards hosts
jammylot#6327,None,nsfw copypasta
motorenvoy#8792,None,telling members to unalive
peakbass#6507,None,assault comments towards staff member
occultdisc#1148,None,toxic behavior in multiple communities and in game
crispyweb#9129,None,in game toxicity
supermodel#0428,None,hate speech
pillsleepy#3873,None,inappropriate content towards women
foamcrisp#5124,None,broadbarn alt
rosefiscal#4338,None,broadbarn alt
mutualcash#3783,None,nsfw trolling
firelean#9988,None,broadbarn alt
offsidecar#6572,None,homophobia
futurehalf#6722,None,homophobia
pupalsword#4551,None,alt of banned member
soloruff#8162,None,homophobia and slurs
assuredsup#5171,None,racial slurs
pucechess#8964,None,broadbarn alt
coralwipe#5367,None,broadbarn alt
offsideweb#1152,None,racial slurs
puppink#0646,None,broadbarn alt
fussroan#0329,None,racial slurs
digitalkin#3000,None,harassment and slander
wristterse#0403,None,nsfw content racial slurs
motorclad#3616,None,insulting members
mallextra#9326,None,hacker
filmytsar#3865,None,hacker
primalgram#8003,None,racial slurs ban evasion Tigerstripers
suchdiatom#9498,None,tiger stripes alt
silverwax#1031,None,racial slurs
pearlswarm#7975,None,tigerstripes alt
skillfancy#5804,None,community toxicity
artjocose#9888,None,harassment threats general toxicity
fancylaze#2976,None,community toxicity
woolrusty#4204,None,harassment and bullying
bowjagged#9068,None,toxic behavior towards hosts
acepetal#8721,None,racial slurs
cocoafresh#8097,None,alt of user above racial slurs
onionybevy#1396,None,unalive threats to host
motordew#7218,None,main of banned user ^ ban evasion cultural slander
spitetall#4265,None,unalive comments towards hosts
civillathe#3993,None,racial slurs in game
dairyeagle#4918,None,racial slurs in game
silkmega#8387,None,harassment of users outside of game and general nuisance in game
caskminty#3710,None,slurs in server
knifetight#2470,None,slurs in game
gatefrozen#0028,None,teamers or possible hacker
airwaypuce#6428,None,teamers or possible hacker
bestfodder#7130,None,teamers or possible hacker
ambienthue#1435,None,teamers or possible hacker
brinylinen#4033,None,teamers or possible hacker
levelposse#7723,None,teamers or possible hacker
sanetube#6009,None,teamers or possible hacker
nuclearwig#4008,670b9a737,teamer hacker among other things
suffixwest#1913,36b6369b,Angryworks
rakeitalic#0364,None,probably the same group of people had been insulting multiple hosts
kinlenient#2922,None,to illegal content
slabsatin#5838,None,alt of banned member, banned for racial slurs and homophobic comments to multiple users
fishytrike#5772,None,racial slurs in game
useablehod#2222,8064a5fc6,Bat or Calypso hacking and or teaming
spearspike#6694,b1983cc8a,hacking and or teaming
plumyport#0336,2eca3ce74,Racial slurs probably hacking banned by eac
perfumepad#8353,050c37c67,hacking and or teaming
None,989229cd3,joining without FC EAC notification refer user to 🎫open-a-ticket if they join your game
microorder#4969,None,looking for mod menus
mapaqueous#7074,None,yucky android account double confirm
dairybasic#0049,None,Anti-semitic name in game
violetmole#5826,None,abusive behavior and language towards multiple server members
sheproper#0737,b5a7691e1,hacking and teaming
afootzoo#4911,cb9364798,hacking
variedpan#9524,4113043d8,teaming and hacking
afootmast#3446,13ae6050b,hacking and teaming
Exitslippy#9949,None,sharing game codes to other teamers and hackers
snowybug#2532,None,teaming if user gets banned refer to ticket
badgegone#9899,None,used /r racial slur
markedcar#1344,None,used /r racial slur
voicedazed#5723,None,comments of mass (illegal things) in game and making multiple users feel uncomfortable repeatedly
glovedbunk#4018,None,racial slurs in game and server
pilluphill#6465,None,racial slurs in server and aggression towards hosts
palmystare#1980,0761fddb9,racial slurs in game and general racism
iodineajar#6041,None,Possible alt (same name) of banned user for hate speach, told users to unalive in game and was asking personal info in game
wrymollusc#7013,1cbcf4591,[Fatal  :      TOHE] [09:53:26][ad.b(EAC.cs:659)][EAC Cloud]EAC报告：60595|wrymollusc#7013|PusInBoots|1cbcf4591|Directly Murder Player
suchcharm#8514,None,teaming and cheating in game multiple reports
gamycelery#2545,None,teaming and cheating in game
wobblytray#1301,None,sicko menu detection
humblezoo#3390,None,sicko menu detection
mineguard#5454,None,sicko menu detection
crabveiled#4622,None,sicko menu detection
apexprime#0454,None,sicko menu detection
swipeplus#4208,None,racial slurs in game
tinypinion#8600,None,racial slurs in game
chestmicro#1037,None,admitted to using sicko in Tohe
dinkychess#1392,None,use of racial slurs directed at hosts
smallfever#9533,e09214144,racial slurs in game
treatmisty#2410,af8d7e753,malum installed and sicko rpc in game
ablediver#2233,1e09d5384,mod menus installed on verification
layettebay#9050,a3705dc46,hacker
fitbonfire#8031,None,homophobia & use of mod menus
soundramp#5459,5840a33ac,racial slurs in game
twinbarge#2156,ac87bf773,use of mod menus - verification evasion
minifleet#2823,51e62ee5f,racial slurs in partnered server
pitycyclic#7975,None,alt of angryworks aka hacker
cubshy#9187,None,alt of known hacker
chinbijou#1206,None,alt of known hacker
tidemanned#1720,None,uncredited rpc sent in game on niko region
vettidal#2294,None,alt of known hacker
navalfaun#3963,None,alt of known hacker
